id,content
80289518,great content and delivery!
80243510,Excellent course. Excellent delivery!
80027284,A great match for me. Exactly what I was searching for. This in depth look into python was just what I wanted
80004092,"I was looking for a class that would not waste time with telling me what a loop is. This class is a must take.
The only negative is that there is a lot of repetition. I believe it could have been done in half the time by eliminating a lot of the repetition and, in some cases typing. Still, I highly recommend it."
79970808,"It's still early on in the course, but I am really enjoying Fred's style. I think this rating will go up to 5, but I won't be able to increase it after that so 4.5 it is for now."
79921688,One of the excellent courses that I have attended so far.
79775868,"After 2+ years of using python at work I thought I had a good understanding of it. Oh boy was I wrong. This course really helped in understanding the misterious magic of python (like closures, decorators and the import logic). The instructor is gifted with a very clear and expressiv kind of teaching, I find it almost art. The topics are really good structured an explained."
79739270,This is the best curse what see
79733536,The best in-depth course!
79711656,"Simply the best course out there on ""core Python"" (i.e., the standard library and the language itself). Fred rocks!!!"
79695440,"Have not yet finished the course, but I feel that this course is very detail and the instructor make python's problems clear. I have bought all 4 parts of this course"
79643260,Great level of detail and knowledge.
79174774,"Well, I do have basic understanding of the Python semantics. However this course helped me to get insights of them. Most recommended course for Python enthusiasts"
79170624,"A course which truly deserves its ""Deep Dive"" title."
79036344,Very knowledgeable instructor & top notch material!
79005120,Excellent information and mode of teaching! Outstanding! Thank you !
79001872,Great Video
78765570,"there are few courses for intermediate learners out there, this one is ideal for diving deeper, as the title suggests. 
-1/2 star because the videos and the annotation function sometimes don't load properly."
78751744,"Mr Baptiste is highly knowledgeable, presents information clearly and concisely, and intuitively builds understanding from the ground up."
78603020,"That course is just so incredible. Fred  does give you an under the hood  knowledge of python.
Best investment I ever made"
78033858,"Very good course, well described advanced parts of python."
77762764,The instructor has a really in-depth knowledge of the language. It's totally worth to buy.
77649000,"I have a lot of experience in other programming languages, but new to python. That's probably the ideal target group for this course. Sometimes it's a bit slow, but playing the video at a higher speed fixes that."
77392786,"He's very knowledgeable, articulate, and organized. He gives a thorough explanation of things."
77365682,Great follow on course when u are past the basics. I have been looking for courses that go past the basics and this one builds on your knowledge and takes you further down the road. Should not be your first course but if u tired of the same beginner stuff then this one is for you
77359354,It looks to be good starting point to understand python in detail
