Mã trường,Tên trường,Tên ngành,Điểm,Năm
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,20.75,2016
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,23.5,2017
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,19.0,2018
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,20.0,2019
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,22.0,2020
TAG,Đại Học An Giang,công nghệ thông tin,15.0,2016
TAG,Đại Học An Giang,công nghệ thông tin,17.0,2017
TAG,Đại Học An Giang,công nghệ thông tin,16.0,2018
TAG,Đại Học An Giang,công nghệ thông tin,10.0,2018
TAG,Đại Học An Giang,công nghệ thông tin,15.5,2019
TAG,Đại Học An Giang,công nghệ thông tin,18.5,2020
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,23.0,2016
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,25.75,2017
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,22.5,2018
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,24.65,2019
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,27.0,2020
QSB,Đại Học Bách Khoa ,khoa học máy tính; kỹ thuật máy tính,25.5,2016
QSB,Đại Học Bách Khoa ,khoa học máy tính; kỹ thuật máy tính; (nhóm ngành),28.0,2017
QSB,Đại Học Bách Khoa ,khoa học máy tính; kỹ thuật máy tính; (nhóm ngành),23.25,2018
QSB,Đại Học Bách Khoa ,khoa học máy tính,25.75,2019
QSB,Đại Học Bách Khoa ,khoa học máy tính,27.625,2020
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin,23.0,2016
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin,26.0,2017
QST,Đại Học Khoa Học Tự Nhiên ,nhóm ngành máy tính và công nghệ thông tin,22.75,2018
QST,Đại Học Khoa Học Tự Nhiên ,nhóm ngành máy tính và công nghệ thông tin,25.0,2019
QST,Đại Học Khoa Học Tự Nhiên ,nhóm ngành máy tính và công nghệ thông tin (hệ thống thông tin; khoa học máy tính; kỹ thuật phần mềm; truyền thông & mạng máy tính),27.2,2020
